letter,letterpy,kecheng,letterSplit,zuci
剩,shèng,第 20 课 肥皂泡,乘 刂,所剩无几 剩下
碗,wǎn,第 20 课 肥皂泡,石 宛,砸锅卖铁 茶碗
悠,yōu,第 20 课 肥皂泡,攸 心,悠闲 悠然
若,ruò,第 20 课 肥皂泡,草 右,倘若 若是
透,tòu,第 20 课 肥皂泡,辶 秀,水滴石穿 透彻
娇,jiāo,第 20 课 肥皂泡,女 乔,娇气 娇艳
扯,chě,第 20 课 肥皂泡,才 止,拉扯 胡扯
仰,yǎng,第 20 课 肥皂泡,亻 卬,仰卧 人仰马翻
串,chuàn,第 20 课 肥皂泡,口 口 丨,串通 客串
婴,yīng,第 20 课 肥皂泡,贝 贝 女,幼儿 婴孩
希,xī,第 20 课 肥皂泡,乂 布,希冀 希图
呈,chéng,第 22 课 我们奇妙的世界（课文 21 为略读）,口 王,呈报 辞呈
幻,huàn,第 22 课 我们奇妙的世界（课文 21 为略读）,幺 ㇆,梦幻 幻想
诱,yòu,第 22 课 我们奇妙的世界（课文 21 为略读）,讠 秀,诱导 引诱
润,rùn,第 22 课 我们奇妙的世界（课文 21 为略读）,氵 闰,湿润 滋润
芒,máng,第 22 课 我们奇妙的世界（课文 21 为略读）,草 亡,锋芒 芒果
冰,bīng,第 22 课 我们奇妙的世界（课文 21 为略读）,冰 水,结冰 冰天雪地
剑,jiàn,第 22 课 我们奇妙的世界（课文 21 为略读）,佥 刂,宝剑 刻舟求剑
普,pǔ,第 22 课 我们奇妙的世界（课文 21 为略读）,丷 晋,普天同庆 普通
通,tōng,第 22 课 我们奇妙的世界（课文 21 为略读）,辶 甬,交通 通过
模,mó,第 22 课 我们奇妙的世界（课文 21 为略读）,木 莫,模范 模糊
型,xíng,第 22 课 我们奇妙的世界（课文 21 为略读）,刑 土,典型 小巧玲珑
宁,níng,第 23 课 海底世界,宀 丁,鸡犬不宁 宁愿
官,guān,第 23 课 海底世界,宀 㠯,器官 法官
汪,wāng,第 23 课 海底世界,氵 王,水汪汪 汪洋
险,xiǎn,第 23 课 海底世界,阝 佥,保险 危险
参,shēn,第 23 课 海底世界,厶 大 彡,参与 参天大树
攻,gōng,第 23 课 海底世界,工 攵,攻无不克 进攻
推,tuī,第 23 课 海底世界,才 隹,推测 推陈出新
迅,xùn,第 23 课 海底世界,辶 卂,迅速 迅雷不及掩耳
速,sù,第 23 课 海底世界,辶 束,不速之客 速度
退,tuì,第 23 课 海底世界,辶 艮,撤退 后退
煤,méi,第 23 课 海底世界,火 某,煤炭 煤气
铁,tiě,第 23 课 海底世界,钅 失,铁塔 钢铁
必,bì,第 24 课 火烧云,心 丿,必不可少 必定
胡,hú,第 24 课 火烧云,古 肉,胡同 胡说八道
灿,càn,第 24 课 火烧云,火 山,灿烂 金灿灿
骑,qí,第 24 课 火烧云,马 奇,骑兵 骑虎难下
秒,miǎo,第 24 课 火烧云,禾 少,分秒 争分夺秒
凶,xiōng,第 24 课 火烧云,凵 乂,凶猛 凶手
猛,měng,第 24 课 火烧云,犭 孟,勇猛 猛然
接,jiē,第 24 课 火烧云,才 妾,连接 接受
庙,miào,第 24 课 火烧云,广 由 廟,庙会 孔庙
威,wēi,第 24 课 火烧云,戊 一 女,威胁 威风凛凛
武,wǔ,第 24 课 火烧云,一 弋 止,武器 武术
镇,zhèn,第 24 课 火烧云,钅 真,镇静自若 镇定
性,xìng,第 25 课 慢性子裁缝和急性子顾客,忄 生,性别 性情中人
卷,juǎn,第 25 课 慢性子裁缝和急性子顾客,𠔉 㔾,开卷有益 试卷
货,huò,第 25 课 慢性子裁缝和急性子顾客,化 贝,货物 货真价实
取,qǔ,第 25 课 慢性子裁缝和急性子顾客,耳 又,取得 取长补短
夹,jiā,第 25 课 慢性子裁缝和急性子顾客,一 丷 大,两面夹击 夹子
夸,kuā,第 25 课 慢性子裁缝和急性子顾客,大 亏,夸大 夸奖
务,wù,第 25 课 慢性子裁缝和急性子顾客,夕 力,任务 当务之急
衬,chèn,第 25 课 慢性子裁缝和急性子顾客,衤 寸,相得益彰 衬衫
衫,shān,第 25 课 慢性子裁缝和急性子顾客,衤 彡,衣衫褴褛 衣衫
负,fù,第 25 课 慢性子裁缝和急性子顾客,刀 贝,辜负 负担
责,zé,第 25 课 慢性子裁缝和急性子顾客,丰 贝,责备 责无旁贷
艺,yì,第 25 课 慢性子裁缝和急性子顾客,草 乙,艺术 多才多艺
漏,lòu,第 27 课 漏（课文 26 为略读）,氵 屚,漏水 漏网之鱼
喂,wèi,第 27 课 漏（课文 26 为略读）,口 畏,投喂 喂饱
胖,pàng,第 27 课 漏（课文 26 为略读）,肉 半,胖子 心宽体胖
驴,lǘ,第 27 课 漏（课文 26 为略读）,马 户,驴子 毛驴
贼,zéi,第 27 课 漏（课文 26 为略读）,贝 戎,乌贼 盗贼
狼,láng,第 27 课 漏（课文 26 为略读）,犭 良,引狼入室 灰狼
莫,mò,第 27 课 漏（课文 26 为略读）,草 日 大,莫须有 莫名
厉,lì,第 27 课 漏（课文 26 为略读）,厂 万,厉声 雷厉风行
抱,bào,第 27 课 漏（课文 26 为略读）,扌 包,抱头鼠窜 怀抱
架,jià,第 27 课 漏（课文 26 为略读）,加 木,书架 招架不住
粘,zhān,第 27 课 漏（课文 26 为略读）,米 占,粘土 粘连
胶,jiāo,第 27 课 漏（课文 26 为略读）,肉 交,如胶似漆 胶水
偏,piān,第 27 课 漏（课文 26 为略读）,亻 扁,偏爱 偏见
